Wavelength(nm),Slot0Ch1,Slot0Ch3,Monitor
1503.4,-1.1112327575683594,-34.60307693481445,-5.6383514404296875
1503.5,-1.1081392765045166,-34.530704498291016,-5.638743877410889
1503.6,-1.100190281867981,-34.54447937011719,-5.642147064208984
1503.7,-1.0978103876113892,-34.526432037353516,-5.6318135261535645
1503.8,-1.0992457866668701,-34.51088333129883,-5.620331287384033
1503.9,-1.092110276222229,-34.49674606323242,-5.6238508224487305
1504.0,-1.0822985172271729,-34.405418395996094,-5.616814136505127
1504.1,-1.0785608291625977,-34.422359466552734,-5.598494529724121
1504.2,-1.0739396810531616,-34.3768310546875,-5.588781356811523
1504.3,-1.0673630237579346,-34.31549072265625,-5.586970329284668
1504.4,-1.0625396966934204,-34.409454345703125,-5.581800937652588
1504.5,-1.0606777667999268,-34.400047302246094,-5.570192337036133
1504.6,-1.0572590827941895,-34.37487030029297,-5.572511672973633
1504.7,-1.0568114519119263,-34.48286056518555,-5.586453437805176
1504.8,-1.0572357177734375,-34.448516845703125,-5.58309268951416
1504.9,-1.0536868572235107,-34.45137023925781,-5.570321083068848
1505.0,-1.0483287572860718,-34.50880432128906,-5.579347610473633
1505.1,-1.0455800294876099,-34.5429573059082,-5.58309268951416
1505.2,-1.047524094581604,-34.56578063964844,-5.56388521194458
1505.3,-1.0489544868469238,-34.51217269897461,-5.562984943389893
1505.4,-1.0510927438735962,-34.5880012512207,-5.570321083068848
1505.5,-1.0547195672988892,-34.582252502441406,-5.55668830871582
1505.6,-1.0593929290771484,-34.6246452331543,-5.548861980438232
1505.7,-1.063718318939209,-34.6917724609375,-5.564013481140137
1505.8,-1.0624098777770996,-34.66475296020508,-5.575605869293213
1505.9,-1.060586929321289,-34.648414611816406,-5.574831962585449
1506.0,-1.0625983476638794,-34.52680587768555,-5.586582660675049
1506.1,-1.0616194009780884,-34.488006591796875,-5.608748912811279
1506.2,-1.0585933923721313,-34.49160385131836,-5.612649440765381
1506.3,-1.059440016746521,-34.576351165771484,-5.600829124450684
1506.4,-1.0558465719223022,-34.70161437988281,-5.602904796600342
1506.5,-1.0455408096313477,-34.57632827758789,-5.607839584350586
1506.6,-1.043750524520874,-34.4450798034668,-5.598494529724121
1506.7,-1.0507943630218506,-34.49258041381836,-5.591628074645996
1506.8,-1.0530973672866821,-34.51317596435547,-5.60044002532959
1506.9,-1.0535593032836914,-34.49174118041992,-5.593441009521484
1507.0,-1.0586994886398315,-34.42607116699219,-5.583609580993652
1507.1,-1.0592944622039795,-34.42887496948242,-5.573413848876953
1507.2,-1.0540918111801147,-34.32904052734375,-5.576121807098389
1507.3,-1.0535612106323242,-34.19307327270508,-5.581800937652588
1507.4,-1.055125117301941,-34.24516296386719,-5.570836544036865
1507.5,-1.0511173009872437,-34.44120407104492,-5.580251216888428
1507.6,-1.0496500730514526,-34.39516067504883,-5.593441009521484
