Wavelength(nm),Slot0Ch1,Slot0Ch3
1512.4,0.020169999450445175,65.6728515625
1512.5,0.01727999933063984,41.42670822143555
1512.6,0.021299999207258224,41.560489654541016
1512.7,0.023229999467730522,65.76315307617188
1512.8,0.028869999572634697,65.55848693847656
1512.9,0.02831999957561493,65.42182922363281
1513.0,0.03522999957203865,59.68540954589844
1513.1,0.04024999961256981,36.036861419677734
1513.2,0.035760000348091125,40.4227294921875
1513.3,0.034929998219013214,59.5589485168457
1513.4,0.02126000076532364,29.713890075683594
1513.5,0.017890000715851784,11.693499565124512
1513.6,0.01331000030040741,37.910221099853516
1513.7,0.01155999954789877,38.51416015625
1513.8,0.007860000245273113,30.028060913085938
1513.9,0.010029999539256096,52.81808090209961
1514.0,0.01193000003695488,67.79891204833984
1514.1,0.015610000118613243,67.65278625488281
1514.2,0.014430000446736813,62.748531341552734
